name,code,sectors,products
진도,088790,기타 전문 도매업,"모피제품 제조,가공"
코오롱머티리얼,144620,화학섬유 제조업,"합성섬유 제조/직물 도매,무역"
코오롱인더,120110,화학섬유 제조업,"산업자재, 화학, 필름"
키다리스튜디오,020120,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","만화, 소설 등 콘텐츠 제작 및 유통, 판매, 컴퓨터 프로그래밍, 시스템 통합 및 관리업"
태경산업,015890,기초 화학물질 제조업,"제강용 정련제(프락스),카바이드,중질탈산칼슘 제조,판매/고속도로휴게소 운영"
태양금속공업,004100,자동차 신품 부품 제조업,"자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조"
포스코강판,058430,1차 철강 제조업,"용융아연도금강판,용융알루미늄도금강판,칼라도장강판,냉연강판 가공,제조,도매"
필룩스,033180,전자부품 제조업,"전자부품(페라이트코아,트랜스포머,데코램프) 제조/온라인정보 제공/부동산 임대"
한국공항,005430,기타 운송관련 서비스업,"항공기 지상조업,항공화물 상하역,장비대여,항공용역사업,항공기급유,항공화물 취급,보관,부정기헬기운송,여행알선,광업,먹는샘물 제조,농축산업"
한국종합기술,023350,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,감리,측량/토목건축공사"
한국철강,104700,1차 철강 제조업,철근. 단조강. 파이프
한국패러랠,168490,신탁업 및 집합투자업,
한라홀딩스,060980,기타 금융업,지주회사 및 경영컨설팅 서비스업
한미사이언스,008930,기타 금융업,"항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매"
한미약품,128940,의약품 제조업,의약품
한성기업,003680,수산물 가공 및 저장 처리업,"냉동식품,햄제품 제조,도매,보관/원양어업"
한솔로지스틱스,009180,기타 운송관련 서비스업,"지류펄프 보관창고 운영/화물취급,화물운송알선,물류컨설팅/종합쇼핑몰운영,통신판매,인터넷백화점"
한일철강,002220,1차 철강 제조업,"강관류,철판류,금속관류,건축자재,자동차부품 제조,도매"
한일현대시멘트,006390,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,시멘트반제품 제조,판매/콘도미니엄,스키장,종합레저관광산업,체육진흥사업,사업서비스"
한창제지,009460,"펄프, 종이 및 판지 제조업","마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입"
한화생명,088350,보험업,생명보험
한화시스템,272210,전자부품 제조업,"정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조"
현대건설,000720,토목 건설업,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스"
현대건설기계,267270,일반 목적용 기계 제조업,"굴삭기, 지게차, 휠로더 등"
현대모비스,012330,자동차 신품 부품 제조업,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)"
현대비앤지스틸,004560,1차 철강 제조업,"스텐레스냉연강판,특수강 제조"
현대엘리베이터,017800,일반 목적용 기계 제조업,"엘리베이터,에스컬레이터,공항,공정,크린룸,병원 물류시스템,수,배송센터,고속소팅시스템,주차설비 제조,판매,보수"
현대중공업지주,267250,석유 정제품 제조업,"산업용 로봇, 클린용 로봇, 조선 기자재 등"
현대차증권,001500,금융 지원 서비스업,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대"
현대홈쇼핑,057050,무점포 소매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작
호전실업,111110,봉제의복 제조업,스포츠웨어 및 아웃도어 웨어 OEM
호텔신라,008770,기타 상품 전문 소매업,"면세판매,관광숙박,외식사업,예식업"
CJ프레시웨이,051500,음·식료품 및 담배 도매업,"식자재유통, 단체급식"
EDGC,245620,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스
GH신소재,130500,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼"
GST,083450,특수 목적용 기계 제조업,"GasScrubber,Chiller"
GS홈쇼핑,028150,텔레비전 방송업,CATV홈쇼핑
IBKS제13호스팩,351340,금융 지원 서비스업,기업인수 및 합병
ITX엠투엠,099520,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역"
JW신약,067290,의약품 제조업,"매니큐어세트, 손톱깎이"
KB오토시스,024120,자동차 신품 부품 제조업,브레이크패드
KG모빌리언스,046440,소프트웨어 개발 및 공급업,유무선전화결제서비스
KH바텍,060720,전자부품 제조업,"휴대폰부품(SHIELD, BRACKET)"
SK5호스팩,337450,금융 지원 서비스업,기업인수합병
SK6호스팩,340350,금융 지원 서비스업,
THE E&M,089230,기타 정보 서비스업,인터넷 개인방송 플랫폼
TJ미디어,032540,영상 및 음향기기 제조업,영상음향반주기
YW,051390,상품 종합 도매업,"이동통신중계시스템, 데이터네트웍장비, 광전송 장비"
갤럭시아컴즈,094480,소프트웨어 개발 및 공급업,전자결제
경남바이오파마,044480,고무제품 제조업,"콘돔,고무골무,의료용 장갑"
경창산업,024910,자동차 신품 부품 제조업,"각종 케이블, 개폐랫치, 리저브탱크, 밴드류, 페달류, 오토트랜스미션부품, 시트용 단품"
고려시멘트,198440,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘"
골프존,215000,소프트웨어 개발 및 공급업,골프시뮬레이터
교보8호스팩,307280,금융 지원 서비스업,기업인수합병
국순당,043650,알코올음료 제조업,탁주 및 약주
그리티,204020,봉제의복 제조업,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)"
나노브릭,286750,기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)"
나스미디어,089600,광고업,광고매체 판매
